,Club,City,Altitude
0,Arsenal,London,24
1,Manchester City,Manchester,51
2,Manchester United,Manchester,51
3,Newcastle United,Newcastle upon Tyne    ,30
4,Tottenham Hotspur,London,24
5,Brighton and Hove Albion,Name:   ,10
6,Brentford,London,24
7,Fulham,London,24
8,Chelsea,London,24
9,Liverpool FC,Liverpool,70
10,Aston Villa,Birmingham,140
11,Crystal Palace,London,24
12,Nottingham Forest,Nottingham,63
13,Leicester City,Leicester,62
14,Wolverhampton Wanderers,Wolverhampton,163
15,Leeds United,Leeds,63
16,West Ham United,London,24
17,Everton,Liverpool,70
18,Bournemouth,Bournemouth,19
19,Southampton,  Southampt,21
